blank,,blank2,,blank3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
595.0112305,0.01056818664,595.0112305,0.01040838473,595.0112305,0.01030679513,
594.0067139,0.01016041823,594.0067139,0.01003753487,594.0067139,0.01035382226,
593.0019531,0.009926312603,593.0019531,0.01047809515,593.0019531,0.01012292411,
591.9969482,0.0102411937,591.9969482,0.01021095458,591.9969482,0.01034491509,
590.9915771,0.01015154179,590.9915771,0.01016706973,590.9915771,0.009997455403,
589.9859619,0.01003960148,589.9859619,0.009921333753,589.9859619,0.009895141236,
589.017395,0.009729710408,589.017395,0.009778898209,589.017395,0.009880550206,
588.0112915,0.009716553614,588.0112915,0.009772491641,588.0112915,0.009756183252,
587.0048828,0.009540208615,587.0048828,0.009743290953,587.0048828,0.009455515072,
585.9983521,0.009632858448,585.9983521,0.009687568061,585.9983521,0.009517002851,
584.9914551,0.009424431249,584.9914551,0.009305828251,584.9914551,0.009375890717,
583.984375,0.009334761649,583.984375,0.009349837899,583.984375,0.009366923943,
583.0143433,0.008806089871,583.0143433,0.009069486521,583.0143433,0.009142287076,
582.0066528,0.008953041397,582.0066528,0.008928942494,582.0066528,0.009000530466,
580.9987793,0.008893192746,580.9987793,0.008775579743,580.9987793,0.008862940595,
579.9907227,0.008614799008,579.9907227,0.008615882136,579.9907227,0.008776293136,
578.9822388,0.008601966314,578.9822388,0.0084212441,578.9822388,0.008364555426,
578.0109863,0.008297584951,578.0109863,0.008418921381,578.0109863,0.008385878988,
577.0021362,0.008138009347,577.0021362,0.008182348683,577.0021362,0.00804430712,
575.992981,0.00797712151,575.992981,0.007839224301,575.992981,0.007876863703,
574.9835815,0.007676997688,574.9835815,0.007695994806,574.9835815,0.007599858567,
574.0114136,0.007429058198,574.0114136,0.007479303982,574.0114136,0.007495842874,
573.0014648,0.007403463591,573.0014648,0.007394274231,573.0014648,0.007354991045,
571.991333,0.006808342878,571.991333,0.006980135571,571.991333,0.006904172245,
571.0183105,0.006805529352,571.0183105,0.006854414009,571.0183105,0.006857438479,
570.0077515,0.006599426735,570.0077515,0.006595169194,570.0077515,0.006622161716,
568.9967651,0.006385436282,568.9967651,0.006353599019,568.9967651,0.006374298129,
567.9857178,0.006129700225,567.9857178,0.006200171541,567.9857178,0.00604506582,
567.0117798,0.005832765251,567.0117798,0.005799472798,567.0117798,0.005758208688,
566.0001831,0.005421710666,566.0001831,0.005391333252,566.0001831,0.005570825189,
564.9882813,0.005135238636,564.9882813,0.005142101552,564.9882813,0.005219564773,
564.0136719,0.004955900367,564.0136719,0.004844610114,564.0136719,0.00501489453,
563.0013428,0.004579890985,563.0013428,0.004745230079,563.0013428,0.00470979698,
561.9887695,0.004327621311,561.9887695,0.004486926831,561.9887695,0.004484180827,
561.0134277,0.00408715196,561.0134277,0.004114877433,561.0134277,0.004105887841,
