Time (µs) - Sample 5 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test1;;Time (µs) - Sample 5 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test2;;Time (µs) - Sample 5 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Intensity (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Intensity (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Intensity (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Number (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Number (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Number (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Volume (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Volume (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Volume (Percent) - Sample 5 [Steady state] test3
0,8;0,9587;;0,8;0,9386;;0,8;1,001;;;;146,1;6,593;;146,1;8,172;;146,1;0;;;;146,1;3,46E-05;;146,1;3,54E-05;;146,1;0;;;;146,1;0,03193;;146,1;0,03622;;146,1;0
0,85;0,9558;;0,85;0,9367;;0,85;0,9969;;;;169,9;0,6744;;169,9;3,273;;169,9;0;;;;169,9;7,17E-06;;169,9;9,26E-06;;169,9;0;;;;169,9;0,008565;;169,9;0,01221;;169,9;0
0,9;0,9528;;0,9;0,9311;;0,9;0,9935;;;;197,6;0;;197,6;0;;197,6;0;;;;197,6;9,67E-08;;197,6;4,53E-07;;197,6;0;;;;197,6;0,0001789;;197,6;0,0008896;;197,6;0
0,95;0,951;;0,95;0,9254;;0,95;0,992;;;;229,8;0;;229,8;0;;229,8;0;;;;229,8;0;;229,8;0;;229,8;0;;;;229,8;0;;229,8;0;;229,8;0
1;0,9515;;1;0,921;;1;0,9917;;;;267,2;0;;267,2;0;;267,2;0;;;;267,2;0;;267,2;0;;267,2;0;;;;267,2;0;;267,2;0;;267,2;0
1,05;0,9523;;1,05;0,9212;;1,05;0,9897;;;;310,7;0;;310,7;0;;310,7;0;;;;310,7;0;;310,7;0;;310,7;0;;;;310,7;0;;310,7;0;;310,7;0
1,1;0,9483;;1,1;0,921;;1,1;0,9874;;;;361,3;0;;361,3;0;;361,3;0;;;;361,3;0;;361,3;0;;361,3;0;;;;361,3;0;;361,3;0;;361,3;0
1,15;0,9406;;1,15;0,917;;1,15;0,987;;;;420,2;0;;420,2;0;;420,2;0;;;;420,2;0;;420,2;0;;420,2;0;;;;420,2;0;;420,2;0;;420,2;0
1,2;0,933;;1,2;0,9108;;1,2;0,986;;;;488,7;0;;488,7;0;;488,7;0;;;;488,7;0;;488,7;0;;488,7;0;;;;488,7;0;;488,7;0;;488,7;0
1,25;0,9333;;1,25;0,9078;;1,25;0,9831;;;;568,3;0;;568,3;0;;568,3;0;;;;568,3;0;;568,3;0;;568,3;0;;;;568,3;0;;568,3;0;;568,3;0
