Time (µs) - Sample 2 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test1;Time (µs) - Sample 2 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test2;Time (µs) - Sample 2 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test3;;;;;;Size (d.nm) - Sample 2 [Steady state] test1;Intensity (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Intensity (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Intensity (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Number (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Number (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Number (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Volume (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Volume (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Volume (Percent) - Sample 2 [Steady state] test3
0,9;0,9648;0,9;0,9778;0,9;0,9808;;;;;;197,6;15,19;;197,6;17,42;;197,6;17,45;;;;197,6;1,43E-05;;197,6;5,09E-05;;197,6;6,88E-06;;;;197,6;0,0478;;197,6;0,08153;;197,6;0,04039
0,95;0,9604;0,95;0,9767;0,95;0,9835;;;;;;229,8;13,67;;229,8;9,117;;229,8;11,54;;;;229,8;5,92E-06;;229,8;1,37E-05;;229,8;2,19E-06;;;;229,8;0,03165;;229,8;0,0333;;229,8;0,01995
1;0,9608;1;0,9771;1;0,9812;;;;;;267,2;9,773;;267,2;1,864;;267,2;4,404;;;;267,2;2,58E-06;;267,2;2,86E-06;;267,2;6,09E-07;;;;267,2;0,02138;;267,2;0,009995;;267,2;0,008068
1,05;0,9562;1,05;0,9783;1,05;0,9785;;;;;;310,7;4,896;;310,7;0;;310,7;0;;;;310,7;9,92E-07;;310,7;2,92E-07;;310,7;9,86E-08;;;;310,7;0,01212;;310,7;0,001438;;310,7;0,001734
1,1;0,9578;1,1;0,979;1,1;0,9756;;;;;;361,3;1,137;;361,3;0;;361,3;0;;;;361,3;2,65E-07;;361,3;0;;361,3;0;;;;361,3;0,004566;;361,3;0;;361,3;0
1,15;0,9552;1,15;0,9791;1,15;0,976;;;;;;420,2;0;;420,2;0;;420,2;0;;;;420,2;3,39E-08;;420,2;0;;420,2;0;;;;420,2;0,000801;;420,2;0;;420,2;0
1,2;0,9584;1,2;0,9778;1,2;0,974;;;;;;488,7;0;;488,7;0;;488,7;0;;;;488,7;0;;488,7;0;;488,7;0;;;;488,7;0;;488,7;0;;488,7;0
1,25;0,9604;1,25;0,978;1,25;0,9718;;;;;;568,3;0;;568,3;0;;568,3;0;;;;568,3;0;;568,3;0;;568,3;0;;;;568,3;0;;568,3;0;;568,3;0
1,3;0,9634;1,3;0,9772;1,3;0,9713;;;;;;660,9;0;;660,9;0;;660,9;0;;;;660,9;0;;660,9;0;;660,9;0;;;;660,9;0;;660,9;0;;660,9;0
1,35;0,9622;1,35;0,9774;1,35;0,9709;;;;;;768,5;0;;768,5;0;;768,5;0;;;;768,5;0;;768,5;0;;768,5;0;;;;768,5;0;;768,5;0;;768,5;0
1,4;0,9581;1,4;0,9711;1,4;0,9712;;;;;;893,8;0;;893,8;0;;893,8;0;;;;893,8;0;;893,8;0;;893,8;0;;;;893,8;0;;893,8;0;;893,8;0
1,45;0,9548;1,45;0,9676;1,45;0,9677;;;;;;1039;0;;1039;0;;1039;0;;;;1039;0;;1039;0;;1039;0;;;;1039;0;;1039;0;;1039;0
1,5;0,9555;1,5;0,9618;1,5;0,9666;;;;;;1209;0;;1209;0;;1209;0;;;;1209;0;;1209;0;;1209;0;;;;1209;0;;1209;0;;1209;0
1,55;0,9544;1,55;0,9619;1,55;0,9656;;;;;;1406;0;;1406;0;;1406;0;;;;1406;0;;1406;0;;1406;0;;;;1406;0;;1406;0;;1406;0
1,6;0,9542;1,6;0,9626;1,6;0,9666;;;;;;1635;0;;1635;0;;1635;0;;;;1635;0;;1635;0;;1635;0;;;;1635;0;;1635;0;;1635;0
1,7;0,9497;1,7;0,967;1,7;0,9658;;;;;;1901;0;;1901;0;;1901;0;;;;1901;0;;1901;0;;1901;0;;;;1901;0;;1901;0;;1901;0
1,8;0,9492;1,8;0,9687;1,8;0,9637;;;;;;2211;0;;2211;0;;2211;0;;;;2211;0;;2211;0;;2211;0;;;;2211;0;;2211;0;;2211;0
1,9;0,9483;1,9;0,9657;1,9;0,9626;;;;;;2571;0;;2571;0;;2571;0;;;;2571;0;;2571;0;;2571;0;;;;2571;0;;2571;0;;2571;0
2;0,9452;2;0,9623;2;0,9606;;;;;;2990;0;;2990;0;;2990;0;;;;2990;0;;2990;0;;2990;0;;;;2990;0;;2990;0;;2990;0
2,1;0,9434;2,1;0,9585;2,1;0,9592;;;;;;3477;0;;3477;0;;3477;0;;;;3477;0;;3477;0;;3477;0;;;;3477;0;;3477;0;;3477;0
2,2;0,9403;2,2;0,9574;2,2;0,9572;;;;;;4043;0;;4043;0;;4043;0;;;;4043;0;;4043;0;;4043;0;;;;4043;0;;4043;0;;4043;0
2,3;0,9387;2,3;0,9543;2,3;0,9538;;;;;;4702;0;;4702;0;;4702;0;;;;4702;0;;4702;0;;4702;0;;;;4702;0;;4702;0;;4702;0
2,4;0,9371;2,4;0,9519;2,4;0,952;;;;;;5468;0;;5468;0;;5468;0;;;;5468;0;;5468;0;;5468;0;;;;5468;0;;5468;0;;5468;0
2,5;0,9358;2,5;0,9488;2,5;0,9501;;;;;;6358;0;;6358;0;;6358;0;;;;6358;0;;6358;0;;6358;0;;;;6358;0;;6358;0;;6358;0
2,6;0,9359;2,6;0,948;2,6;0,9479;;;;;;7394;0;;7394;0;;7394;0;;;;7394;0;;7394;0;;7394;0;;;;7394;0;;7394;0;;7394;0
2,7;0,9337;2,7;0,9453;2,7;0,9463;;;;;;8599;0;;8599;0;;8599;0;;;;8599;0;;8599;0;;8599;0;;;;8599;0;;8599;0;;8599;0
2,8;0,9316;2,8;0,9442;2,8;0,9441;;;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0;;;;1,00E+04;0;;1,00E+04;0;;1,00E+04;0
2,9;0,928;2,9;0,9421;2,9;0,9436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;0,9262;3;0,9441;3;0,9424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,1;0,9227;3,1;0,9421;3,1;0,9414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,2;0,9227;3,2;0,9424;3,2;0,9408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,4;0,9218;3,4;0,9397;3,4;0,936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,6;0,9195;3,6;0,9366;3,6;0,9326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,8;0,9143;3,8;0,934;3,8;0,9282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0,9103;4;0,9289;4;0,9268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,2;0,9083;4,2;0,927;4,2;0,9234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,4;0,9059;4,4;0,9241;4,4;0,9204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,6;0,9028;4,6;0,9228;4,6;0,917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,8;0,9003;4,8;0,9186;4,8;0,9139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;0,8978;5;0,915;5;0,9106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,2;0,8944;5,2;0,91;5,2;0,9078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,4;0,8902;5,4;0,907;5,4;0,9051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,6;0,8879;5,6;0,9027;5,6;0,9025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,8;0,8849;5,8;0,9022;5,8;0,899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;0,8838;6;0,8989;6;0,8973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
