Size (d.nm) - Sample 3 [Steady state] test1;Intensity (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Intensity (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Intensity (Percent) - Sample 3 [Steady state] test3;;;;Time (µs) - Sample 3 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test1;;Time (µs) - Sample 3 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test2;;Time (µs) - Sample 3 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test3;;;;;Size (d.nm) - Sample 3 [Steady state] test1;Number (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Number (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Number (Percent) - Sample 3 [Steady state] test3;;;;Size (d.nm) - Sample 3 [Steady state] test1;Volume (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Volume (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Volume (Percent) - Sample 3 [Steady state] test3
;;;;;;;;;;;10,4;0,8543;;10,4;0,8535;;10,4;0,8668;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;10,8;0,8506;;10,8;0,8492;;10,8;0,861;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;11,2;0,8453;;11,2;0,8458;;11,2;0,8557;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;11,6;0,8397;;11,6;0,8415;;11,6;0,8518;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;12;0,8347;;12;0,8375;;12;0,8481;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;12,4;0,8312;;12,4;0,8324;;12,4;0,8448;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;12,8;0,8274;;12,8;0,8278;;12,8;0,8412;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;13,6;0,8188;;13,6;0,8191;;13,6;0,8342;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;14,4;0,8107;;14,4;0,8112;;14,4;0,8265;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;15,2;0,8034;;15,2;0,8032;;15,2;0,8184;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;16;0,7957;;16;0,7953;;16;0,8105;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;16,8;0,7879;;16,8;0,7875;;16,8;0,8032;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;17,6;0,7802;;17,6;0,78;;17,6;0,7955;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;18,4;0,7731;;18,4;0,7729;;18,4;0,7866;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;19,2;0,7655;;19,2;0,7657;;19,2;0,779;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;20;0,7586;;20;0,7586;;20;0,7719;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;20,8;0,7517;;20,8;0,7511;;20,8;0,7661;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;21,6;0,745;;21,6;0,7436;;21,6;0,7592;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;22,4;0,738;;22,4;0,7376;;22,4;0,7523;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;23,2;0,7314;;23,2;0,7311;;23,2;0,7449;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;24;0,7244;;24;0,7244;;24;0,7388;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;24,8;0,7181;;24,8;0,7175;;24,8;0,7328;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;25,6;0,7114;;25,6;0,7108;;25,6;0,7265;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;27,2;0,6997;;27,2;0,6991;;27,2;0,7136;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;28,8;0,6874;;28,8;0,6868;;28,8;0,7009;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;30,4;0,6757;;30,4;0,6746;;30,4;0,69;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;32;0,664;;32;0,6634;;32;0,6791;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;33,6;0,6532;;33,6;0,6523;;33,6;0,6674;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;35,2;0,6426;;35,2;0,6421;;35,2;0,6563;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;36,8;0,6326;;36,8;0,6312;;36,8;0,6452;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;38,4;0,6225;;38,4;0,6208;;38,4;0,6361;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;40;0,6123;;40;0,6108;;40;0,6254;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;41,6;0,6026;;41,6;0,6012;;41,6;0,6167;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;43,2;0,5927;;43,2;0,5919;;43,2;0,6066;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;44,8;0,5838;;44,8;0,5822;;44,8;0,5979;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;46,4;0,5744;;46,4;0,573;;46,4;0,5879;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;48;0,5652;;48;0,5645;;48;0,5793;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;49,6;0,5564;;49,6;0,5559;;49,6;0,571;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;51,2;0,5483;;51,2;0,5478;;51,2;0,5631;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;54,4;0,533;;54,4;0,5313;;54,4;0,5475;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;57,6;0,5175;;57,6;0,5161;;57,6;0,5321;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;60,8;0,5026;;60,8;0,5016;;60,8;0,5172;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;64;0,4883;;64;0,4875;;64;0,5026;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;67,2;0,4749;;67,2;0,4741;;67,2;0,4891;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;70,4;0,4619;;70,4;0,4608;;70,4;0,4762;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;73,6;0,4494;;73,6;0,4489;;73,6;0,4643;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;76,8;0,4369;;76,8;0,4369;;76,8;0,4523;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;80;0,4251;;80;0,4255;;80;0,4405;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;83,2;0,4138;;83,2;0,4143;;83,2;0,4298;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;86,4;0,4036;;86,4;0,4036;;86,4;0,4191;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;89,6;0,3931;;89,6;0,3934;;89,6;0,4087;;;;;;;;;;;;;;;;;;;;;;;
